position,title
Q679997,Prime Minister
Q107716054,"Minister for Agriculture, Self-Sufficiency, Energy and Environment"
Q108796498,Minister for Business and Trade
Q107716068,"Minister for Children, Youth, Families and Justice"
Q107716048,"Minister for Education, Culture, Sports and Church"
Q107715949,Minister for Finance and Domestic Affairs
Q107716052,Minister for Fisheries and Hunting
Q107716063,Minister for Health
Q107715952,"Minister for Housing, Infrastructure, Minerals and Gender Equality"
Q107716072,"Minister for Industry, Trade, Foreign Affairs and Climate"
Q107716065,Minister for Social Affairs and Labour
Q109527398,Speaker of the Inatsisartut
